,brand,year,model,used_or_new,transmission,drive_type,fuel_type,fuel_consumption,kilometres,cylinders,body_type,doors,seats,price,cylinder_capacity,exterior_clr,suburb,state
0,Hyundai,2015.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,94377.0,4,SUV,4,5,23888.0,2.0,Grey,Mcgraths Hill,NSW
1,Hyundai,2020.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,38341.0,4,SUV,4,5,28984.0,2.0,Blue,Granville,NSW
2,Hyundai,2019.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,104066.0,4,SUV,4,5,26990.0,2.0,White,Singleton,NSW
3,Hyundai,2018.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,88501.0,4,SUV,4,5,26495.0,2.0,Silver,Berwick,VIC
4,Hyundai,2019.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,23126.0,4,SUV,4,5,34990.0,2.0,Black,Warwick Farm,NSW
5,Hyundai,2015.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,66242.0,4,SUV,4,5,25999.0,2.0,White,Lilydale,VIC
6,Hyundai,2018.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,75056.0,4,SUV,4,5,25776.0,2.0,White,Liverpool,NSW
7,Hyundai,2016.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,105101.0,4,SUV,4,5,20888.0,2.0,Blue,Mcgraths Hill,NSW
8,Hyundai,2017.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,82863.0,4,SUV,4,5,23990.0,2.0,Silver,Seven Hills,NSW
9,Hyundai,2017.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,69137.0,4,SUV,4,5,26888.0,2.0,Silver,Mcgraths Hill,NSW
10,Hyundai,2019.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,90426.0,4,SUV,4,5,25880.0,2.0,White,Arncliffe,NSW
11,Hyundai,2017.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,74878.0,4,SUV,4,5,26990.0,2.0,Black,Windsor,NSW
12,Hyundai,2019.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,80595.0,4,SUV,4,5,26990.0,2.0,Silver,Arncliffe,NSW
13,Hyundai,2019.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,61231.0,4,SUV,4,5,25990.0,2.0,Silver,Tweed Heads South,NSW
14,Hyundai,2019.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,73025.0,4,SUV,4,5,26990.0,2.0,Silver,Tweed Heads South,NSW
15,Hyundai,2015.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,71078.0,4,SUV,4,5,24990.0,2.0,Red,Mornington,VIC
16,Hyundai,2020.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,48945.0,4,SUV,4,5,27800.0,2.0,White,Smithfield,NSW
17,Hyundai,2018.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,54340.0,4,SUV,4,5,26890.0,2.0,White,Brookvale,NSW
18,Hyundai,2016.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,86355.0,4,SUV,4,5,23999.0,2.0,White,South Nowra,NSW
19,Hyundai,2015.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,79956.0,4,SUV,4,5,23814.0,2.0,Silver,Rutherford,NSW
20,Hyundai,2016.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,69465.0,4,SUV,4,5,23885.0,2.0,White,Rutherford,NSW
21,Hyundai,2016.0,Tucson,USED,Automatic,Front,Unleaded,7.9 L / 100 km,45819.0,4,SUV,4,5,27990.0,2.0,White,South Nowra,NSW
